Lateral um,Raw Nanometer
3762.7,-2155.17
3765.8,-2151.84
3769.0,-2149.08
3772.1,-2147.24
3775.2,-2146.07
3778.4,-2145.40
3781.5,-2144.66
3784.6,-2143.37
3787.7,-2141.84
3790.9,-2140.17
3794.0,-2138.77
3797.1,-2138.22
3800.3,-2137.94
3803.4,-2137.26
3806.5,-2136.20
3809.6,-2134.19
3812.8,-2130.97
3815.9,-2128.20
3819.0,-2126.00
3822.1,-2124.68
3825.3,-2123.80
3828.4,-2122.56
3831.5,-2120.48
3834.7,-2118.33
3837.8,-2115.91
3840.9,-2113.30
3844.0,-2111.01
3847.2,-2109.20
3850.3,-2107.39
3853.4,-2105.85
3856.6,-2104.53
3859.7,-2103.66
3862.8,-2103.59
3865.9,-2103.92
3869.1,-2105.21
3872.2,-2106.44
3875.3,-2107.78
3878.4,-2108.70
3881.6,-2109.74
3884.7,-2110.10
3887.8,-2110.23
3891.0,-2110.36
3894.1,-2110.37
3897.2,-2110.27
3900.3,-2110.98
3903.5,-2112.12
3906.6,-2113.82
3909.7,-2116.03
3912.8,-2118.31
3916.0,-2120.79
3919.1,-2124.14
3922.2,-2127.86
3925.4,-2131.75
3928.5,-2135.86
3931.6,-2139.40
3934.7,-2142.70
3937.9,-2146.50
3941.0,-2151.23
3944.1,-2156.08
3947.3,-2161.52
3950.4,-2167.19
3953.5,-2172.19
3956.6,-2176.62
3959.8,-2177.73
3962.9,-2174.73
3966.0,-2167.74
3969.2,-2158.12
3972.3,-2147.11
3975.4,-2135.58
3978.5,-2125.81
3981.7,-2116.94
3984.8,-2110.04
3987.9,-2104.48
3991.0,-2102.67
3994.2,-2103.22
3997.3,-2106.58
4000.4,-2109.03
4003.6,-2111.67
4006.7,-2112.95
4009.8,-2113.46
4012.9,-2112.33
4016.1,-2111.17
4019.2,-2108.45
4022.3,-2104.60
4025.4,-2101.11
4028.6,-2097.31
4031.7,-2094.29
4034.8,-2091.17
4038.0,-2088.00
4041.1,-2085.98
4044.2,-2083.61
4047.3,-2081.12
4050.5,-2077.71
4053.6,-2073.95
4056.7,-2071.11
4059.9,-2068.76
4063.0,-2064.86
4066.1,-2060.46
4069.2,-2056.07
4072.4,-2052.41
4075.5,-2047.69
4078.6,-2043.58
4081.8,-2039.81
4084.9,-2036.80
4088.0,-2034.83
4091.1,-2032.81
4094.3,-2031.94
4097.4,-2030.92
4100.5,-2029.32
4103.6,-2028.39
4106.8,-2027.13
4109.9,-2027.44
4113.0,-2026.76
4116.2,-2025.83
4119.3,-2025.24
4122.4,-2025.11
4125.5,-2024.23
4128.7,-2023.85
4131.8,-2023.48
4134.9,-2023.19
4138.1,-2024.00
4141.2,-2023.17
4144.3,-2023.45
4147.4,-2022.93
4150.6,-2023.67
4153.7,-2023.86
4156.8,-2023.51
4159.9,-2022.52
4163.1,-2021.75
4166.2,-2023.52
4169.3,-2024.98
4172.5,-2027.47
4175.6,-2029.49
4178.7,-2032.25
4181.8,-2034.63
4185.0,-2036.78
4188.1,-2038.54
4191.2,-2038.94
4194.4,-2040.25
4197.5,-2039.51
4200.6,-2040.01
4203.7,-2040.74
4206.9,-2042.67
4210.0,-2044.79
4213.1,-2046.40
4216.2,-2049.09
4219.4,-2051.86
4222.5,-2055.60
4225.6,-2057.52
4228.8,-2059.79
4231.9,-2061.62
4235.0,-2062.95
4238.1,-2064.51
4241.3,-2065.07
4244.4,-2065.29
4247.5,-2065.36
4250.6,-2066.11
4253.8,-2066.43
4256.9,-2067.09
4260.0,-2068.64
4263.2,-2068.48
4266.3,-2068.90
4269.4,-2070.36
4272.5,-2071.97
4275.7,-2073.69
4278.8,-2075.58
4281.9,-2076.95
4285.1,-2078.44
4288.2,-2081.89
4291.3,-2083.28
4294.4,-2083.86
4297.6,-2084.03
4300.7,-2083.85
4303.8,-2082.12
4306.9,-2082.40
4310.1,-2082.56
4313.2,-2083.76
4316.3,-2085.48
4319.5,-2085.46
4322.6,-2085.02
4325.7,-2084.24
4328.8,-2082.52
4332.0,-2081.53
4335.1,-2081.86
4338.2,-2082.05
4341.4,-2080.68
4344.5,-2081.21
4347.6,-2079.93
4350.7,-2078.19
4353.9,-2078.42
4357.0,-2076.72
4360.1,-2074.44
4363.3,-2073.66
4366.4,-2072.81
4369.5,-2071.34
4372.6,-2071.03
4375.8,-2071.94
4378.9,-2073.95
4382.0,-2076.10
4385.1,-2078.32
